French,English
histoire,history
chercher,search
police,police
frère,brother
laisser,let
mettre,to put
laisse,leash
arrivé,come
bébé,baby
longtemps,long time
vont,will
place,square
parle,speak
compris,understood
affaire,case
type,type
leurs,their
endroit,place
trouve,find
premier,first
perdu,lost
main,hand
première,first
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
venez,come
vers,towards
minutes,minutes
chambre,bedroom
droit,law
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
loin,far
fin,end
chérie,sweetheart
plutôt,rather
filles,girls
